id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
958,37.76931,-122.43386,Apartment,Entire home/apt,1.0,1.0,1,$170.00 
3850,37.75402,-122.45805,House,Private room,1.0,1.0,1,$99.00 
5858,37.74511,-122.42102,Apartment,Entire home/apt,1.0,2.0,30,$235.00 
7918,37.76669,-122.4525,Apartment,Private room,4.0,1.0,32,$65.00 
8142,37.76487,-122.45183,Apartment,Private room,4.0,1.0,32,$65.00 
8339,37.77525,-122.43637,House,Entire home/apt,1.5,2.0,6,$875.00 
8739,37.75919,-122.42237,Condominium,Private room,1.0,1.0,1,$139.00 
9225,37.76259,-122.40543,House,Private room,1.0,1.0,1,$135.00 
10251,37.75874,-122.41327,House,Entire home/apt,1.0,2.0,30,$225.00 
10578,37.79143,-122.41544,Apartment,Entire home/apt,1.0,0.0,30,$120.00 
10820,37.77187,-122.43859,Apartment,Entire home/apt,1.0,3.0,30,$177.00 
10824,37.77355,-122.42436,Apartment,Entire home/apt,2.0,3.0,30,$194.00 
10832,37.78574,-122.40798,Apartment,Entire home/apt,1.5,1.0,30,$139.00 
12041,37.77019,-122.44594,Apartment,Private room,3.0,1.0,32,$85.00 
12042,37.76894,-122.44778,Apartment,Private room,3.0,1.0,32,$85.00 
12522,37.76075,-122.43032,Apartment,Private room,1.0,1.0,3,$79.00 
12584,37.76203,-122.45455,Townhouse,Entire home/apt,1.0,2.0,30,$122.00 
14125,37.75491,-122.42246,Apartment,Entire home/apt,1.0,1.0,3,$215.00 
17132,37.78647,-122.39072,Condominium,Entire home/apt,2.0,2.0,90,$450.00 
18231,37.74888,-122.42982,Apartment,Entire home/apt,1.0,0.0,30,$107.00 
18904,37.77252,-122.43216,Townhouse,Private room,1.0,1.0,2,$110.00 
21334,37.7958,-122.41533,Loft,Entire home/apt,1.0,1.0,30,$125.00 
21914,37.7648,-122.45251,Apartment,Private room,4.0,1.0,32,$65.00 
23630,37.75963,-122.44143,House,Entire home/apt,1.0,1.0,3,$155.00 
24450,37.74885,-122.43673,Apartment,Entire home/apt,1.0,1.0,3,$180.00 
24463,37.75645,-122.3991,Apartment,Private room,1.0,1.0,2,$155.00 
24685,37.77162,-122.43836,Apartment,Private room,1.0,1.0,1,$79.00 
24723,37.78716,-122.43386,Guest suite,Entire home/apt,1.0,1.0,5,$195.00 
25094,37.74188,-122.43122,House,Private room,1.0,1.0,5,$150.00 
25463,37.77729,-122.43421,Townhouse,Private room,1.0,1.0,3,$110.00 
25662,37.76212,-122.39541,House,Private room,1.0,0.0,4,$125.00 
26408,37.77478,-122.4315,Apartment,Entire home/apt,2.0,4.0,2,$450.00 
27025,37.76298,-122.43136,Apartment,Entire home/apt,1.0,1.0,30,$125.00 
27028,37.76098,-122.42158,Condominium,Private room,1.0,1.0,1,$199.00 
29373,37.73729,-122.41163,House,Entire home/apt,2.0,2.0,4,$220.00 
29557,37.77931,-122.50518,Apartment,Entire home/apt,1.0,1.0,2,$155.00 
32414,37.74025,-122.41259,Apartment,Entire home/apt,1.0,1.0,30,$150.00 
33578,37.76526,-122.3973,House,Entire home/apt,1.0,1.0,1,$240.00 
39174,37.7483,-122.42488,Guest suite,Entire home/apt,1.0,1.0,30,$107.00 
39418,37.74093,-122.42055,Apartment,Entire home/apt,1.0,0.0,60,$94.00 
40092,37.76016,-122.41969,Apartment,Entire home/apt,1.0,1.0,30,$108.00 
