id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price,zip
958,37.76931,-122.43386,Apartment,Entire home/apt,1,1,1,$170.00 ,94117
3850,37.75402,-122.45805,House,Private room,1,1,1,$99.00 ,94131
5858,37.74511,-122.42102,Apartment,Entire home/apt,1,2,30,$235.00 ,94110
7918,37.76669,-122.4525,Apartment,Private room,4,1,32,$65.00 ,94117
8142,37.76487,-122.45183,Apartment,Private room,4,1,32,$65.00 ,94114
8339,37.77525,-122.43637,House,Entire home/apt,1.5,2,6,$875.00 ,94117
8739,37.75919,-122.42237,Condominium,Private room,1,1,1,$139.00 ,94110
9225,37.76259,-122.40543,House,Private room,1,1,1,$135.00 ,94158
10251,37.75874,-122.41327,House,Entire home/apt,1,2,30,$225.00 ,94110
10578,37.79143,-122.41544,Apartment,Entire home/apt,1,0,30,$120.00 ,94109
10820,37.77187,-122.43859,Apartment,Entire home/apt,1,3,30,$177.00 ,94117
10824,37.77355,-122.42436,Apartment,Entire home/apt,2,3,30,$194.00 ,94102
10832,37.78574,-122.40798,Apartment,Entire home/apt,1.5,1,30,$139.00 ,94108
12041,37.77019,-122.44594,Apartment,Private room,3,1,32,$85.00 ,94117
12042,37.76894,-122.44778,Apartment,Private room,3,1,32,$85.00 ,94117
12522,37.76075,-122.43032,Apartment,Private room,1,1,3,$79.00 ,94114
12584,37.76203,-122.45455,Townhouse,Entire home/apt,1,2,30,$122.00 ,94114
14125,37.75491,-122.42246,Apartment,Entire home/apt,1,1,3,$215.00 ,94110
17132,37.78647,-122.39072,Condominium,Entire home/apt,2,2,90,$450.00 ,94105
18231,37.74888,-122.42982,Apartment,Entire home/apt,1,0,30,$107.00 ,94110
18904,37.77252,-122.43216,Townhouse,Private room,1,1,2,$110.00 ,94117
21334,37.7958,-122.41533,Loft,Entire home/apt,1,1,30,$125.00 ,94109
21914,37.7648,-122.45251,Apartment,Private room,4,1,32,$65.00 ,94114
23630,37.75963,-122.44143,House,Entire home/apt,1,1,3,$155.00 ,94114
24450,37.74885,-122.43673,Apartment,Entire home/apt,1,1,3,$180.00 ,94131
24463,37.75645,-122.3991,Apartment,Private room,1,1,2,$155.00 ,94158
24685,37.77162,-122.43836,Apartment,Private room,1,1,1,$79.00 ,94117
24723,37.78716,-122.43386,Guest suite,Entire home/apt,1,1,5,$195.00 ,94115
25094,37.74188,-122.43122,House,Private room,1,1,5,$150.00 ,94131
25463,37.77729,-122.43421,Townhouse,Private room,1,1,3,$110.00 ,94117
25662,37.76212,-122.39541,House,Private room,1,0,4,$125.00 ,94158
26408,37.77478,-122.4315,Apartment,Entire home/apt,2,4,2,$450.00 ,94117
27025,37.76298,-122.43136,Apartment,Entire home/apt,1,1,30,$125.00 ,94114
27028,37.76098,-122.42158,Condominium,Private room,1,1,1,$199.00 ,94110
29373,37.73729,-122.41163,House,Entire home/apt,2,2,4,$220.00 ,94110
29557,37.77931,-122.50518,Apartment,Entire home/apt,1,1,2,$155.00 ,94122
32414,37.74025,-122.41259,Apartment,Entire home/apt,1,1,30,$150.00 ,94110
33578,37.76526,-122.3973,House,Entire home/apt,1,1,1,$240.00 ,94158
39174,37.7483,-122.42488,Guest suite,Entire home/apt,1,1,30,$107.00 ,94110
39418,37.74093,-122.42055,Apartment,Entire home/apt,1,0,60,$94.00 ,94110
40092,37.76016,-122.41969,Apartment,Entire home/apt,1,1,30,$108.00 ,94110
40138,37.78255,-122.44844,Apartment,Private room,1,1,30,$67.00 ,94118
41055,37.76125,-122.43335,House,Entire home/apt,1,1,4,$159.00 ,94114
41172,37.74083,-122.41763,House,Private room,2,1,3,$127.00 ,94110
41399,37.75611,-122.41866,Apartment,Entire home/apt,1,2,30,$290.00 ,94110
41423,37.73557,-122.43302,House,Entire home/apt,1,0,30,$136.00 ,94131
42403,37.73356,-122.41851,Apartment,Entire home/apt,1,0,30,$85.00 ,94134
42408,37.73404,-122.41781,House,Entire home/apt,1,1,30,$85.00 ,94134
42454,37.75117,-122.41326,Apartment,Entire home/apt,1.5,1,10,$104.00 ,94110
42577,37.75447,-122.38813,Guest suite,Entire home/apt,1,2,30,$150.00 ,94107
